"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"67","Cod, Grey rockcod, Murray cod, Tadpole codling, Hake","Australia",4182,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41.25,440,301.25,215,151.25,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,1325.25,173.5,603.25,791.75,0,0,0
"68","Greenback horse mackerel, Mackerel","Australia",12921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,11483,0,0,0
"69","Grey rockcod, Murray cod, Tadpole codling","Australia",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Halibut, Sand flounder, Plaice, Common sole","Australia",436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,71,57,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Marine fish","Australia",6847.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2919.5,1784.5,0,416,0,0,0,0,0,644.75,0,40.5,0,0,0,167.5,0,0,414.25,460.17
"72","Nile perch","Australia",47.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.74
"73","Rainbow trout, Sea trout, Trout","Australia",13951,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,40,195,300,748,1080,1308,901,1866,1274,1377,1063,654,383,198,268,384,439,599,424,415,0,0,0,0,0,0,0,0
"74","Rainbow trout, Sea trout, Trout, Trout and char, Atlantic salmon, Atlantic salmon and Danube salmon, Australian salmon, Pacific salmons, Salmon","Australia",5049.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,306,91,0,171,604,522,722,696,431,213,198,222,2,0,0,6,42,49,56,41,0,85,0,30,85,149,100,36,41.77
"75","Sardine and Pilchard, Sardine and sardinella and sprat","Australia",2195.9364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,85.12,162.26,111.72,29.26,271.32,143.64,138.32,39.9,202.16,263.34,162.26,119.7,101.08,111.72,135.66,39.9,2.66,23.94,34.58,14.7364
"76","Short-finned eel, Speckled longfin eel","Australia",7470.9,0,0,0,0,0,0,0,0,0,0,0,0,0,214,219,230,218,271,594,618,595,502,476,424,467,511,371,244,272,198,75,205,199,100,85,261,121.9,0,0,0,0,0,0,0
"77","Tuna","Australia",32,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Tuna, Tuna and bonito","Australia",7830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,535,1878,0,0,606,0,1454,306,2505,0,0,0,0,0,0,0,0,0,0,0,0
"79","Brook trout, Rainbow trout, Sea trout, Trout and char","Austria",115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38.75,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Carps and eels and snakeheads","Austria",767.02,0,0,0,0,0,0,0,0,0,0,0,0,64.34,100.34,75.34,39,54,45,39,100,98,85,61,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","European pilchard, Sardine and sardinella and sprat","Austria",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Atlantic salmon and Danube salmon, Pacific salmons, Salmon, Rainbow trout, Trout and char","Azerbaijan",417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","European plaice","Azerbaijan",852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,110,0,0,0,0,13,478,128,60,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Fish","Azerbaijan",4716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3231.54,302.46,144,965,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","Freshwater fish, Marine fish","Azerbaijan",1557.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Pilchards Sardinops spp and Sardinellas","Azerbaijan",1140.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.04,0,85.38,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Polar cod","Azerbaijan",2270.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587.82,1497,0,0,155,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
"88","Salmon","Azerbaijan",1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,51,454,463,280,0,0,0,0,0,0,0,0,0,0
