,Country,Detailed.production.source,Taxon,Taxon2,Aqua.Cap.items,Mean.Trophic.Level,Total.production,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
62,Albania,"Capture,Aquaculture","Freshwater fish,Freshwater fish",Fish,Rainbow trout,4.1,9959.259272,0,0,0,2,8,5,10,10,20,20,22,246,266,270,203,37,20,20,20,0,0,2,0,44.88235294,97.82608696,15,417,350,350,350,203.1589147,221,252,265,500,497.3498233,500,494.7643979,500,496.3084427,348.8933436,0,1313.089835,1561.986075
63,Albania,Capture,Marine fish,Fish,Ray and stingray and manta,4.033333333,2558,0,0,0,0,0,0,0,270,179,141,236,491,429,58,20,10,10,10,15,67,23,24,86,78,85,14,28,16,28,44,51,27,50,32,6,30,0,0,0,0,0,0,0,0
64,Albania,Capture,Freshwater fish,Fish,Roach,3,4162,0,0,0,0,0,0,0,0,0,0,0,43,29,48,21,16,8,6,4,0,0,0,0,0,0,0,0,0,95,16,132,105,90,115,114,110,300,320,370,350,400,450,482,538
65,Albania,Capture,Marine fish,Fish,Round sardinella,3.4,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,42,15,25,0,0,0,6,0,0,0,0,0,0,0,0,0
66,Albania,Imports,Fish,Fish,Salmon,4.270007459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Albania,Capture,Freshwater fish,Fish,Salmon and trout and char,3.741666667,1350.357094,0,0,0,0,0,0,0,0,0,0,0,11,9,6,32,21,17,16,13,11,35,15,0,84.11764706,107.6086957,56,43,50,66,27,40.84108527,58,58,49,29,58.68727915,50,50.46596859,52,49.6969697,52,49.28152866,63.65792031,70
68,Albania,Imports,Fish,Fish,Salmonids,4.228556346,455.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,8,0,0,0,84,76,98,29,35,0,0,5,28,1,0,4,0,22,0,4,0,0,8.96
69,Albania,Capture,Marine fish,Fish,Sand smelt,3.45,731,0,0,0,0,0,0,0,0,0,0,0,132,140,138,63,18,20,20,15,8,20,8,11,15,20,10,16,0,2,4,3,5,10,8,4,4,5,5,4,5,5,5,4,4
70,Albania,Imports,Fish,Fish,Sardine and sardinella and sprat,2.937098662,5238.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.54,93.22,30.6,503.42,651.7,26.6,45.22,1,87.78,13.3,21.28,0,0,0,152.62,18.1,181.88,1064.98,250.54,94.48,109.42,312.24,514.1,702.61
71,Albania,Imports,Fish,Fish,Seabass,3.577543698,2302.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,39,46,21,0,0,25,0,216,0,53,77,238,485,469,431,183,15.79
