"","Country","Detailed.production.source","Aqua.Cap.items","Mean.Trophic.Level","Taxon","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"55","Albania","Capture","Gurnard",3.85,"Marine fish",464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,34,72,25,7,20,26,41,39,36,16,40,7,4,6,12,11,10,22,19
"56","Albania","Capture","Grouper",4.05,"Marine fish",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2,5,1,7,16,23,21,0,18,7,6,4,8,8,7,6,1
"57","Albania","Capture","Greater weever",4.2,"Marine fish",217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,51,118,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Albania","Capture","Greater amberjack",4.5,"Marine fish",114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,19,1,7,5,8,2,5,10,2,2,7,8,4,8,7,6,3,5
"59","Albania","Capture","Flathead grey mullet",2.5,"Freshwater fish",4254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,74,105,50,50,65,320,430,560,250,210,150,104,85,178,210,193,205,230,209,217,259
"60","Albania","Imports","Flatfish",3.90179595267129,"Fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,6,0,4,16,18,19,1,9,3,29,66,87,97,43,1,0,22,0,0
"61","Albania","Imports","Fish",3.44121161326702,"Fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04,413.26,1,352.31,400.11,12.5,201.47,160.74,59.22,50.76,0,0,0,0,281.21,0,0,168.03,1094.13,905.41,0,0,0,0,0
"62","Albania","Imports","Euthynnus other than skipjack",4.5,"Fish",2090.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,0,55,67,1,35,44,0,1,0,840,0,190,297,107,137,203,78.41
"63","Albania","Capture","European sprat",3,"Marine fish",198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,8,5,0,2,22,28,27,19,20,22,17,20
"64","Albania","Capture","European perch",4.4,"Freshwater fish",884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,111,58,136,20,25,20,21,19,23,36,162,189
"65","Albania","Capture","European hake",4.4,"Marine fish",14748,0,0,0,0,0,0,0,71,65,83,98,96,67,105,562,238,454,400,300,227,293,185,340,341,330,380,200,384,473,267,280,275,275,336,280,286,899,851,902,914,948,940,872,731
"66","Albania","Capture","European flounder",3.3,"Marine fish",432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,42,41,45,15,3,0,37,20,27,15,17,17,34,8,16,15,12,12,13,10,11,10
"67","Albania","Capture","European conger",4.3,"Marine fish",257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,10,7,5,3,3,61,47,41,0,22,6,6,10,9,8,5,6,5
"68","Albania","Capture","Dogfish shark",4.5,"Marine fish",485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,13,0,0,0,10,77,1,7,56,73,30,36,48,31,38,0,0,0,0,0,0,0,0
"69","Albania","Capture","Crucian carp",3.1,"Freshwater fish",6236,0,0,0,0,0,0,0,0,0,0,0,148,143,149,97,32,11,10,9,0,0,0,77,62,65,326,260,300,350,381,394,431,380,208,225,230,90,99,110,164,137,345,480,523
"70","Albania","Capture","Common sole",3.2,"Marine fish",1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,21,35,31,41,14,195,38,73,40,48,63,63,69,120,68,79,62,44,71,68,69,67,20
"71","Albania","Capture","Common pandora",3.5,"Marine fish",763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,25,33,35,34,15,26,13,20,3,30,25,54,39,23,31,25,34,43,42,47,44,31,52
